% Time (s),"Dependent variable c Sink Flux","Dependent variable c Source Flux","Dependent variable p (m^2) Total Concentration","timeint(0,t,sourceFlux-sinkFlux)"
0,0,0,0,0
1.0E-7,0,0,0,0
2.0E-7,0,0,0,0
4.0E-7,0,0,0,0
8.0E-7,0,0,0,0
1.6E-6,0,0,0,0
3.2E-6,0,0,0,0
6.4E-6,0,0,0,0
1.28E-5,0,0,0,0
2.56E-5,0,0,0,0
5.12E-5,0,0,0,0
1.024E-4,0,0,0,0
2.048E-4,0,0,0,0
4.096E-4,0,0,0,0
8.192E-4,0,0,0,0
0.0016384,0,0,0,0
0.0032768,0,0,0,0
0.0065536,0,0,0,0
0.0131072,0,0,0,0
0.0262144,0,0,0,0
0.0524288,0,0,0,0
0.1048576,0,0,0,0
0.2097152,6.125773061773597E-32,4.558095759938908E-8,4.7795098195735845E-9,6.772236251570726E-10
0.4194304,9.921728988996004E-22,3.6726883582828905E-7,8.180136717906862E-8,4.3967662329999654E-8
0.60817408,-3.053617782753168E-21,6.567879262342982E-7,2.0561456644598253E-7,1.4060978225504365E-7
0.9856614399999999,1.1275301440815888E-15,1.2358261070463188E-6,6.721233005908664E-7,4.97828723436649E-7
1.3631487999999998,1.837958819916721E-14,1.8148642878583384E-6,1.357211622475846E-6,1.0736272510369961E-6
1.7406361599999998,1.5518517108646694E-13,2.3939024686703602E-6,2.2608794872383835E-6,1.8680053269778714E-6
2.1181235199999997,3.994354419773225E-13,2.9729406494823767E-6,3.3131814392968164E-6,2.8809629465374565E-6
2.4956108799999996,1.7499211448346563E-12,3.551978830294399E-6,4.566576101102478E-6,4.112499882112108E-6
2.8730982399999996,5.489834149993446E-12,4.131017011106417E-6,6.024560111672444E-6,5.562615562548533E-6
3.2505855999999995,1.2209204904511692E-11,4.8728214727080155E-6,7.73484984571504E-6,7.235374341826838E-6
3.379084219308149,1.5973467824385226E-11,5.5409722075029526E-6,8.413025460280926E-6,7.903532555959662E-6
3.507582838616299,2.0994541619592142E-11,6.300736793804032E-6,9.178839529701245E-6,8.663306719923872E-6
3.6232315959936336,2.6812016441427493E-11,7.07320206540721E-6,9.955200410826262E-6,9.435782930236504E-6
3.7388803533709685,3.4200703947356366E-11,7.940368964229268E-6,1.0826816238956116E-5,1.0302963591130477E-5
3.8545291107483033,4.3537188783361053E-11,8.913847070056971E-6,1.180517619365755E-5,1.1276458984009245E-5
3.970177868125638,5.5303390904211643E-11,1.0006669059129553E-5,1.2903456651546644E-5,1.236930269958683E-5
4.085826625502973,6.994265403562159E-11,1.1233465111431622E-5,1.4133134280971449E-5,1.3596126101866787E-5
4.201475382880308,8.823051253053045E-11,1.261065868328724E-5,1.5512334699574374E-5,1.4973354130282153E-5
4.3171241402576435,1.1100559132450166E-10,1.4156686260173186E-5,1.705948227493992E-5,1.651942513036342E-5
4.432772897634979,1.3936343829053306E-10,1.589224402409153E-5,1.8796177874304503E-5,1.8255037656936984E-5
4.548421655012314,1.745740263402333E-10,1.7840564728121364E-5,2.07456557742654E-5,2.0203427449208678E-5
4.664070412389649,2.1812212650343343E-10,2.002772847259036E-5,2.293347373393795E-5,2.2390678437297166E-5
4.7797191697669845,2.7192035893395256E-10,2.2483011527907855E-5,2.5389305158998524E-5,2.4846071722586755E-5
4.89536792714432,3.381727012079708E-10,2.523927785433883E-5,2.814578868454156E-5,2.7602477129142207E-5
5.011016684521655,4.1966324687470033E-10,2.8333418535409277E-5,3.124039205223715E-5,3.0696794044860516E-5
5.12666544189899,5.195419953218263E-10,3.1806844976521295E-5,3.471414672008617E-5,3.417044346035334E-5
5.242314199276326,6.417696813684506E-10,3.5706042431862996E-5,3.8614068412445915E-5,3.806992320226089E-5
5.357962956653661,7.907839504271362E-10,4.0083191219902206E-5,4.299178551438492E-5,4.244742951112171E-5
5.473611714030996,9.721540186752429E-10,4.499686388076154E-5,4.790647944793535E-5,4.73615551603776E-5
5.589260471408331,1.1920494181465934E-9,5.0512807528826624E-5,5.342326085584293E-5,5.2878072959345384E-5
5.704909228785667,1.458187016371045E-9,5.6704821773532805E-5,5.9616687951312426E-5,5.907081520322092E-5
5.820557986163002,1.7790032243095244E-9,6.365574383426739E-5,6.656886460978449E-5,6.602266051835494E-5
5.936206743540337,2.165013295737167E-9,7.14585538770634E-5,7.437369228138501E-5,7.382664189110255E-5
6.051855500917672,2.6275489191718063E-9,8.021761516821778E-5,8.313467407925496E-5,8.258718946377448E-5
6.167504258295008,3.1806884990939523E-9,9.005006539187439E-5,9.297006445884335E-5,9.24215260234745E-5
6.283153015672343,3.839368522686644E-9,1.0108737743556795E-4,1.0401033710710577E-4,1.0346123237011449E-4
6.398801773049678,4.622091623308355E-9,1.1347711013236591E-4,1.164044184065329E-4,1.1585400449771215E-4
6.5144505304270135,5.5481563577917896E-9,1.2738487188527863E-4,1.303167720772406E-4,1.2976562478279164E-4
6.630099287804349,6.641408345180786E-9,1.4299652281601853E-4,1.4593494754842166E-4,1.453821752017451E-4
6.745748045181684,7.926260148213995E-9,1.6052064410516565E-4,1.6346623504671654E-4,1.6291251494667525E-4
6.861396802559019,9.432816846599971E-9,1.801913065558783E-4,1.831468122904467E-4,1.825910711276707E-4
6.977045559936355,1.1191279700794273E-8,2.0227117415217707E-4,2.052379213332557E-4,2.0468095774560475E-4
7.09269431731369,1.3238149073865234E-8,2.2705498253138692E-4,2.3003877421045744E-4,2.2947748116998413E-4
7.208343074691025,1.5612798665040693E-8,2.5487343688617207E-4,2.5788626502016134E-4,2.573120690156458E-4
7.32399183206836,1.8357169102435484E-8,2.860975788937931E-4,2.8914847036337605E-4,2.8855667813243826E-4
7.439640589445696,2.1517099365606404E-8,3.2114367787849495E-4,3.24242666394752E-4,3.2362873597000625E-4
7.555289346823031,2.5142020176919465E-8,3.604787075868952E-4,3.636356595953626E-4,3.629966816941409E-4
7.670938104200366,2.9285202128541874E-8,4.046264767339264E-4,4.0785342813563666E-4,4.0718617747117196E-4
7.786586861577701,3.400272884784761E-8,4.541744888930112E-4,4.574711842639012E-4,4.5678706618094094E-4
7.902235618955037,3.935538286907023E-8,5.09781615387799E-4,5.131577752309714E-4,5.12461188926832E-4
8.017884376332372,4.540681963858194E-8,5.721866736140597E-4,5.756502395839717E-4,5.749511000201589E-4
8.133533133709706,5.222476778364358E-8,6.422180126862577E-4,6.457952445709198E-4,6.450898739698564E-4
