% Time (s),"Dependent variable c Sink Flux","Dependent variable c Source Flux","Dependent variable p (m^2) Total Concentration"
0,0,0,0
1.0E-7,0,0,0
2.0E-7,0,0,0
4.0E-7,0,0,0
8.0E-7,0,0,0
1.6E-6,0,0,0
3.2E-6,0,0,0
6.4E-6,0,0,0
1.28E-5,0,0,0
2.56E-5,0,0,0
5.12E-5,0,0,0
1.024E-4,0,0,0
2.048E-4,0,0,0
4.096E-4,0,0,0
8.192E-4,0,0,0
0.0016384,0,0,0
0.0032768,0,0,0
0.0065536,0,0,0
0.0131072,0,0,0
0.0262144,0,0,0
0.0524288,0,0,0
0.1048576,0,0,0
0.2097152,2.8231994257621506E-33,4.558095759938908E-8,4.409605315323886E-9
0.4194304,1.7884012584578626E-23,3.6726883582828905E-7,6.973232062221767E-8
0.60817408,-2.453165324682441E-23,6.567879262342982E-7,1.6823053946536796E-7
0.9856614399999999,9.158680660570582E-18,1.2358261070463188E-6,4.875147494462964E-7
1.3631487999999998,1.369681685767904E-16,1.8148642878583384E-6,9.006237982217126E-7
1.7406361599999998,1.0621343412838496E-15,2.3939024686703602E-6,1.3857954946106312E-6
2.4956108799999996,2.1024425597724394E-13,3.551978830294399E-6,2.535848406900196E-6
3.2505855999999995,1.5112598383257648E-12,4.8728214727080155E-6,3.874552779690292E-6
3.3878482316967067,1.7900554129086657E-12,5.589746051625653E-6,4.182531557961215E-6
3.4921909163992146,2.0285249168398503E-12,6.2045004702652E-6,4.457321693456527E-6
3.578941766655913,2.2463895498917353E-12,6.766772717110774E-6,4.715962356446543E-6
3.6570175318869413,2.462435662854335E-12,7.316254943751409E-6,4.976358001465939E-6
3.727285720594867,2.6728769422596914E-12,7.84883688467854E-6,5.233623278277707E-6
3.790527090432,2.8760318499713626E-12,8.361228481592566E-6,5.484731178547713E-6
3.84744432328542,3.070613515978365E-12,8.850919019976297E-6,5.727372485178037E-6
3.898669832853498,3.2556938392017816E-12,9.316113853377488E-6,5.959848088024251E-6
3.9447727914647683,3.4314987564469784E-12,9.755657428762187E-6,6.181619830853703E-6
3.9862654542149114,3.5970543246250472E-12,1.0168949718630045E-5,6.391375193179321E-6
4.0236088506900405,3.752185517614299E-12,1.0555861544981901E-5,6.588648795198816E-6
4.057217907517656,3.896911566936863E-12,1.0916652787646841E-5,6.773274928180706E-6
4.0874660586625104,4.031406157116398E-12,1.1251896181065795E-5,6.945324342038407E-6
4.1146893946928795,4.156266093605475E-12,1.1562408348490029E-5,7.105346567575785E-6
4.1391903971202115,4.271630487582421E-12,1.1849188898504589E-5,7.2534787957770896E-6
4.1636913995475435,4.390250461705694E-12,1.2143082191130179E-5,7.406048939841478E-6
4.185742301732143,4.499375576736307E-12,1.2413813253320865E-5,7.54662289202471E-6
4.207793203916742,4.61142557755098E-12,1.269058008462982E-5,7.69115158406651E-6
4.227639015882881,4.7141139585401316E-12,1.2944941962863255E-5,7.82377925684567E-6
4.24748482784902,4.819420151548326E-12,1.3204401929465673E-5,7.959920037401825E-6
4.265346058618545,4.915607100700242E-12,1.344235916801568E-5,8.08441670209564E-6
4.28320728938807,5.014126170932523E-12,1.3684604491105607E-5,8.212021910152412E-6
4.301068520157595,5.114430566661637E-12,1.3931215166071025E-5,8.342060147242908E-6
4.31892975092712,5.215791818126627E-12,1.4182269852327913E-5,8.473562293478902E-6
4.3367909816966455,5.318791614241702E-12,1.4437848626445468E-5,8.607321520165707E-6
4.354652212466171,5.423645593381363E-12,1.469803300767015E-5,8.743632748581403E-6
4.390374674005221,5.639343691625224E-12,1.5232552038181939E-5,9.0244846400799E-6
4.426097135544271,5.8632194095402005E-12,1.5786508950515173E-5,9.316558228066376E-6
4.497542058622371,6.337162320009896E-12,1.695558932425153E-5,9.936506694416523E-6
4.568986981700471,6.84771561014121E-12,1.8211242536475786E-5,1.0606410188402895E-5
4.640431904778571,7.397418439599576E-12,1.955987884387073E-5,1.1329642785204408E-5
4.7118768278566705,7.98902000300903E-12,2.1008383049736454E-5,1.2109912536068045E-5
