% Model,LymphNode_2D_Model(1).mph
% Version,COMSOL 6.0.0.312
% Date,"Sep 6 2022, 13:09"
% Table,Accumulated Probe Table 2 - 
% p_diric_aff,lmda,Time (s),"Dependent variable c, Sink Flux","Dependent variable c, Source Flux","Dependent variable p (m^2), Total Concentration"
0.5,0,0,0,0,0
0.5,0,0.1,0,0,0
0.5,0,0.2,3.8198168972654266E-35,3.310593253182402E-12,3.4353829598637036E-11
0.5,0,0.30000000000000004,1.1459450691796279E-34,6.870765919727419E-10,1.0306148879591111E-10
0.5,0,0.4,3.129610761213955E-33,4.067074448454021E-9,9.812985650884126E-10
0.5,0,0.5,8.49552294859049E-33,1.2021032950140624E-8,2.5071591750570932E-9
0.5,0,0.6000000000000001,1.6212331069047557E-32,2.610136865647581E-8,4.680643318701962E-9
0.5,0,0.7000000000000001,8.512595235584459E-24,4.756838229863208E-8,1.0175217028040442E-8
0.5,0,0.8,2.515084952073439E-23,7.742345517924104E-8,1.886935911979895E-8
0.5,0,0.9,5.2236379746926964E-23,1.1644224557212272E-7,3.149219669361874E-8
0.5,0,1,9.209080278942703E-23,1.6520788512201566E-7,4.877285684914083E-8
0.5,0,1.1,1.4703573552349937E-22,2.241441752443064E-7,7.144046668600631E-8
0.5,0,1.2000000000000002,2.19392794824409E-22,2.935487835247588E-7,1.0022415330385643E-7
0.5,0,1.3,3.721751692156788E-16,3.736264401192444E-7,1.6325237769327225E-7
0.5,0,1.4000000000000001,8.506858085406848E-16,4.6452213415347183E-7,2.397389752422764E-7
0.5,0,1.5,1.435532137367805E-15,5.663543101227153E-7,3.296839459508682E-7
0.5,0,1.6,2.1267141556970496E-15,6.792480642915473E-7,4.3308728981904823E-7
0.5,0,1.7000000000000002,2.9242318635284145E-15,8.033683410935647E-7,5.499490068468147E-7
0.5,0,1.8,3.8280852608618955E-15,9.389531295311208E-7,6.802690970341695E-7
0.5,0,1.9000000000000001,4.838274347697494E-15,1.0863466595750545E-6,8.240475603811143E-7
0.5,0,2,5.95479912403522E-15,1.2460325985644173E-6,9.812843968876454E-7
0.5,0,2.1,7.177659589875058E-15,1.4186672476062091E-6,1.1519796065537635E-6
0.5,0,2.2,8.50685574521703E-15,1.6051127379751003E-6,1.3361331893794693E-6
0.5,0,2.3000000000000003,9.942387590061092E-15,1.806470227513171E-6,1.5337451453647644E-6
0.5,0,2.4000000000000004,1.1484255124407315E-14,2.024113097029627E-6,1.7448154745096437E-6
0.5,0,2.5,3.4986468671477175E-12,2.2597201467005455E-6,2.39149214772618E-6
0.5,0,2.6,7.522148800829641E-12,2.51530879246859E-6,3.1165730357810746E-6
0.5,0,2.7,1.2081990056170231E-11,2.7932682624427525E-6,3.920058138674342E-6
0.5,0,2.8000000000000003,1.7178170633169496E-11,3.096392793298072E-6,4.801947456405988E-6
0.5,0,2.9000000000000004,2.2810690531827384E-11,3.4279148266753737E-6,5.76224098897599E-6
0.5,0,3,2.8979549752143887E-11,3.7915382055809914E-6,6.8009387363843474E-6
0.5,0,3.1,3.568474829411907E-11,4.191471370786504E-6,7.918040698631098E-6
0.5,0,3.2,4.2926286157752916E-11,4.6324605572284576E-6,9.113546875716191E-6
0.5,0,3.3000000000000003,5.0704163343045464E-11,5.119654070456272E-6,1.0387457267639652E-5
0.5,0,3.4000000000000004,5.901837984999648E-11,5.658084707850316E-6,1.1739771874401493E-5
0.5,0,3.5,6.786893567860622E-11,6.253140800471496E-6,1.3170490696001668E-5
0.5,0,3.6,7.72558308288747E-11,6.910777303300362E-6,1.4679613732440274E-5
0.5,0,3.7,8.717906530080183E-11,7.637575371697816E-6,1.626714098371721E-5
0.5,0,3.8000000000000003,9.76386390943875E-11,8.440808200057558E-6,1.79330724498325E-5
0.5,0,3.9000000000000004,1.0863455220963198E-10,9.328513780471363E-6,1.967740813078619E-5
0.5,0,4,1.2016680464653478E-10,1.030957530824007E-5,2.1500148026578226E-5
0.5,0,4.1000000000000005,1.3223539640509638E-10,1.1393810037293388E-5,2.3401292137208645E-5
0.5,0,4.2,1.4484032748531666E-10,1.2592067472784019E-5,2.5380840462677435E-5
0.5,0,4.3,1.5798159788719574E-10,1.3916337881121638E-5,2.7438793002984517E-5
0.5,0,4.4,1.7165920761073319E-10,1.5379872200423294E-5,2.957514975812996E-5
0.5,0,4.5,1.858731566559295E-10,1.699731454778734E-5,3.1789910728113844E-5
0.5,0,4.6000000000000005,2.0062344502278435E-10,1.8784848645050915E-5,3.4083075912936146E-5
0.5,0,4.7,2.1591007271129793E-10,2.076035962299357E-5,3.6454645312596796E-5
