% Model,LymphNode_2D_Model(1).mph
% Version,COMSOL 6.0.0.312
% Date,"Sep 6 2022, 15:33"
% Table,Accumulated Probe Table 2 - 
% p_diric_aff,lmda,Time (s),"Dependent variable c, Sink Flux","Dependent variable c, Source Flux","Dependent variable p (m^2), Total Concentration"
0.5,0,0.5,2.917331953315199E-28,1.2020906601683813E-8,3.3311594749301944E-9
0.5,0,0.6000000000000001,7.370411920562861E-28,2.6101094315022452E-8,7.255175733262493E-9
0.5,0,0.7000000000000001,1.3563836974208632E-27,4.756788232564963E-8,1.2586117226887776E-8
0.5,0,0.8,2.1497607114252527E-27,7.742264141106294E-8,1.9323983955806095E-8
0.5,0,0.9,1.5803858689958407E-20,1.1644102169243652E-7,3.248144293836375E-8
0.5,0,1,4.3347722401117425E-20,1.6520614868543622E-7,5.076952265555741E-8
0.5,0,1.1,8.534082566714412E-20,2.2414181935103473E-7,7.504753745338951E-8
0.5,0,1.2000000000000002,1.4449240087194454E-19,2.935456981463266E-7,1.0617480167786173E-7
0.5,0,1.3,2.2351168039942503E-19,3.736225130753432E-7,1.450106296749769E-7
0.5,0,1.4000000000000001,3.2510789663349148E-19,4.6451725173986836E-7,1.9241433579073693E-7
0.5,0,1.5,4.519902819580504E-19,5.663483573902514E-7,2.492452343711443E-7
0.5,0,1.6,6.068680687570079E-19,6.792409249762265E-7,3.1636263976220064E-7
0.5,0,1.7000000000000002,5.0333738862453405E-14,8.033598971977228E-7,4.573117274600215E-7
0.5,0,1.8,1.1185199444258852E-13,9.389432605556823E-7,6.213317608738471E-7
0.5,0,1.9000000000000001,1.8455537360847385E-13,1.0863352414028744E-6,8.084227400036764E-7
0.5,0,2,2.684438763601092E-13,1.2460195019947116E-6,1.018584664849512E-6
0.5,0,2.1,3.635175026974952E-13,1.4186523365400622E-6,1.2518175354113529E-6
0.5,0,2.2,4.697762526206315E-13,1.6050958672520694E-6,1.508121351689197E-6
0.5,0,2.3000000000000003,5.872201261295185E-13,1.806451240398963E-6,1.7874961136830474E-6
0.5,0,2.4000000000000004,7.158491232241555E-13,2.0240918223548738E-6,2.0899418213928997E-6
0.5,0,2.5,8.556632439045421E-13,2.2596963956506525E-6,2.4154584748187598E-6
0.5,0,2.6,1.0066624881706798E-12,2.515282355024682E-6,2.764046073960621E-6
0.5,0,2.7,1.1688468560225665E-12,2.7932389034736955E-6,3.135704618818488E-6
0.5,0,2.8000000000000003,1.3422163474602048E-12,3.0963602483035825E-6,3.5304341093923644E-6
0.5,0,2.9000000000000004,1.5267709624835942E-12,3.427878797180219E-6,3.948234545682245E-6
0.5,0,3,1.722510701092732E-12,3.7914983541802653E-6,4.389105927688128E-6
0.5,0,3.1,1.929435563287621E-12,4.191427315842003E-6,4.853048255410012E-6
0.5,0,3.2,2.1475455490682593E-12,4.632411867216121E-6,5.340061528847897E-6
0.5,0,3.3000000000000003,2.341050610666285E-10,5.119600259740177E-6,8.240129554653603E-6
0.5,0,3.4000000000000004,4.933359052852089E-10,5.6580252378967485E-6,1.1444443091663779E-5
0.5,0,3.5,7.79840078204809E-10,6.253075076112066E-6,1.4953002139878344E-5
0.5,0,3.6,1.0936175798254332E-9,6.910704666776416E-6,1.8765806699297464E-5
0.5,0,3.7,1.4346684101470745E-9,7.637495096078733E-6,2.2882856769920986E-5
0.5,0,3.8000000000000003,1.8029925691697361E-9,8.440719481966954E-6,2.7304152351748958E-5
0.5,0,3.9000000000000004,2.1985900568934184E-9,9.328415732048619E-6,3.202969344478135E-5
0.5,0,4,2.621460873318122E-9,1.0309466948256699E-5,3.705948004901823E-5
0.5,0,4.1000000000000005,3.0716050184438483E-9,1.1393690281335527E-5,4.239351216445958E-5
0.5,0,4.2,3.5490224922705896E-9,1.2591935122402828E-5,4.80317897911054E-5
0.5,0,4.3,4.053713294798353E-9,1.3916191611843204E-5,5.397431292895564E-5
0.5,0,4.4,4.5856774260271365E-9,1.5379710548498162E-5,6.022108157801031E-5
0.5,0,4.5,5.144914885956941E-9,1.6997135895547385E-5,6.677209573826943E-5
0.5,0,4.6000000000000005,5.73142567458777E-9,1.8784651204727134E-5,7.362735540973316E-5
0.5,0,4.7,6.345209791919612E-9,2.0760141418833242E-5,8.078686059240103E-5
0.5,0,4.800000000000001,6.986267237952485E-9,2.294337166514588E-5,8.825061128627365E-5
0.5,0,4.9,7.654598012686365E-9,2.535618482097186E-5,9.60186074913505E-5
0.5,0,5,8.350202116121267E-9,2.8022719818559993E-5,1.0409084920763202E-4
0.5,0,5.1000000000000005,9.073079548257201E-9,3.0969652861984046E-5,1.1246733643511775E-4
0.5,0,5.2,9.823230309094135E-9,3.422646395518586E-5,1.2114806917380798E-4
0.5,0,5.300000000000001,1.0600654398632109E-8,3.782573139037664E-5,1.3013304742370304E-4
0.5,0,5.4,1.1405351816871106E-8,4.180345712177819E-5,1.3942227118480226E-4
0.5,0,5.5,1.2237322563811099E-8,4.6199426253856114E-5,1.4901574045710596E-4
0.5,0,5.6000000000000005,1.309656663945214E-8,5.105760420858068E-5,1.5891345524061414E-4
0.5,0,5.7,1.3983084043794185E-8,5.642657550598364E-5,1.6911541553532648E-4
0.5,0,5.800000000000001,1.4896874776837251E-8,6.236002849975347E-5,1.796216213412439E-4
0.5,0,5.9,1.5837938838581354E-8,6.891729085854289E-5,1.904320726583652E-4
0.5,0,6,1.6806276229026446E-8,7.61639210781223E-5,2.0154676948669096E-4
0.5,0,6.1000000000000005,1.7801886948172585E-8,8.417236185388589E-5,2.129657118262215E-4
0.5,0,6.2,1.8824770996019737E-8,9.302266174232086E-5,2.246888996769563E-4
0.5,0,6.300000000000001,1.9874928372567913E-8,1.0280327219907251E-4,2.367163330388959E-4
0.5,0,6.4,2.0952359077817092E-8,1.1361192780578262E-4,2.490480119120395E-4
0.5,0,6.5,2.2560762421501577E-8,1.2555661829405092E-4,2.827204195467842E-4
0.5,0,6.6000000000000005,2.4226966324780035E-8,1.3875666184911834E-4,3.1797201107154534E-4
0.5,0,6.7,2.595097078765249E-8,1.533438901352486E-4,3.5480278648632234E-4
0.5,0,6.800000000000001,2.773277581011898E-8,1.69463956536674E-4,3.932127457911159E-4
0.5,0,6.9,2.9572381392179422E-8,1.8727778026028354E-4,4.332018889859259E-4
0.5,0,7,3.1469787533833904E-8,2.0696314020731598E-4,4.7477021607075223E-4
0.5,0,7.1000000000000005,3.342499423508238E-8,2.2871643389980913E-4,5.179177270455951E-4
0.5,0,7.2,3.5438001495924886E-8,2.527546182525567E-4,5.626444219104532E-4
0.5,0,7.300000000000001,3.7508809316361383E-8,2.793173506220109E-4,6.089503006653289E-4
0.5,0,7.4,3.963741769639186E-8,3.0866935034929045E-4,6.568353633102209E-4
0.5,0,7.5,4.1823826636016356E-8,3.4110300295449466E-4,7.06299609845129E-4
0.5,0,7.6000000000000005,4.40680361352349E-8,3.769412312426781E-4,7.573430402700535E-4
0.5,0,7.7,4.6370046194047386E-8,4.1654065985648143E-4,8.099656545849942E-4
0.5,0,7.800000000000001,4.872985681245391E-8,4.602951022636395E-4,8.641674527899508E-4
0.5,0,7.9,5.1147467990454447E-8,5.08639401805027E-4,9.19948434884924E-4
0.5,0,8,5.362287972804895E-8,5.620536612539658E-4,9.77308600869914E-4
0.5,0,8.1,5.615609202523746E-8,6.210678983504058E-4,0.0010362479507449195
0.5,0,8.200000000000001,5.879997922525223E-8,6.862671679705353E-4,0.0011228696470239636
0.5,0,8.3,6.155771354842859E-8,7.582971949640926E-4,0.0012387397608463403
0.5,0,8.4,6.438440458312386E-8,8.378705652218244E-4,0.0013616966607136955
0.5,0,8.5,6.728005232933809E-8,9.257735261988286E-4,0.001491740346626026
0.5,0,8.6,7.024465678707129E-8,0.001022873451879249,0.0016288708185833315
0.5,0,8.700000000000001,7.32782179563234E-8,0.001130127030972554,0.001773088076585618
0.5,0,8.8,7.638073583709444E-8,0.0012485892409122665,0.0019243921206328713
0.5,0,8.9,7.955221042938442E-8,0.0013794231738927152,0.0020827829507251063
0.5,0,9,8.279264173319339E-8,0.001523910784608329,0.002248260566862317
0.5,0,9.1,8.61020297485213E-8,0.0016834646323998807,0.002420824969044505
