% Model,LymphNode_2D_Model(1).mph
% Version,COMSOL 6.0.0.312
% Date,"Sep 2 2022, 14:26"
% Table,Accumulated Probe Table 3 - 
% p_diric_aff,lmda,Time (s),"Dependent variable c, Sink Flux","Dependent variable c, Source Flux","Dependent variable p (m^2), Total Concentration"
1.5,0.30000000000000004,1.6,6.482786211739779E-13,6.792480642915473E-7,2.8722909525675237E-7
1.5,0.30000000000000004,1.8,1.1728147794703939E-12,9.389531295311208E-7,4.37023289386008E-7
1.5,0.30000000000000004,2,1.909774031404037E-12,1.2460325985644173E-6,6.320172298540719E-7
1.5,0.30000000000000004,2.2,2.7585571173165415E-10,1.6051127379751003E-6,1.0921211268757212E-6
1.5,0.30000000000000004,2.4000000000000004,6.409896457345957E-10,2.024113097029627E-6,1.6667228656070697E-6
1.5,0.30000000000000004,2.6,1.0973115760402269E-9,2.51530879246859E-6,2.3558224460481067E-6
1.5,0.30000000000000004,2.8000000000000003,1.6448215026485483E-9,3.096392793298072E-6,3.1594198681988243E-6
1.5,0.30000000000000004,3,2.2835194255595614E-9,3.7915382055809914E-6,4.0775151320592235E-6
1.5,0.30000000000000004,3.2,3.013405344773265E-9,4.6324605572284576E-6,5.110108237629343E-6
1.5,0.30000000000000004,3.4000000000000004,3.83447926028966E-9,5.658084707850316E-6,6.2571991849091116E-6
1.5,0.30000000000000004,3.6,4.746741172108743E-9,6.910777303300362E-6,7.518787973898599E-6
1.5,0.30000000000000004,3.8000000000000003,5.750191080230523E-9,8.440808200057558E-6,8.894874604597777E-6
1.5,0.30000000000000004,4,6.844828984654985E-9,1.030957530824007E-5,1.0385459077006623E-5
1.5,0.30000000000000004,4.2,8.501019179673779E-9,1.2592067472784019E-5,1.2972243605466393E-5
1.5,0.30000000000000004,4.4,1.0333918151775523E-8,1.5379872200423294E-5,1.5852017287334294E-5
1.5,0.30000000000000004,4.6000000000000005,1.23435259009603E-8,1.8784848645050915E-5,1.902478012261022E-5
1.5,0.30000000000000004,4.800000000000001,1.4529842427228039E-8,2.2943612816641342E-5,2.2490532111294327E-5
1.5,0.30000000000000004,5,1.689286773057875E-8,2.80230143576927E-5,2.624927325338648E-5
1.5,0.30000000000000004,5.2,2.1500501228263694E-8,3.422682370017398E-5,3.340862817627725E-5
1.5,0.30000000000000004,5.4,2.7420253944781418E-8,4.180389650646617E-5,4.2567259038839763E-5
1.5,0.30000000000000004,5.6000000000000005,3.433347542584663E-8,5.105814086107406E-5,5.3246300190740644E-5
1.5,0.30000000000000004,5.800000000000001,4.2240165671459306E-8,6.236068394893283E-5,6.544575163197969E-5
1.5,0.30000000000000004,6,5.114032468161949E-8,7.616472161623573E-5,7.916561336255689E-5
1.5,0.30000000000000004,6.2,6.103395245632717E-8,9.302363947803992E-5,9.440588538247239E-5
1.5,0.30000000000000004,6.4,7.192104899558233E-8,1.1361312194963798E-4,1.1116656769172669E-4
1.5,0.30000000000000004,6.6000000000000005,9.055808083991444E-8,1.3875812028238624E-4,1.392669369048079E-4
1.5,0.30000000000000004,6.800000000000001,1.1688300380725403E-7,1.6946573772590566E-4,1.7861682325880882E-4
1.5,0.30000000000000004,7,1.470484347854003E-7,2.0696531554019617E-4,2.23624765774235E-4
1.5,0.30000000000000004,7.2,1.8105437377435318E-7,2.5275727488712065E-4,2.742907644510891E-4
1.5,0.30000000000000004,7.4,2.189008207741131E-7,3.0867259468828886E-4,3.3061481928937036E-4
1.5,0.30000000000000004,7.6000000000000005,2.605877757846796E-7,3.769451931687168E-4,3.925969302890782E-4
