p_diric_aff,lmda,Time (s),"Dependent variable c Sink Flux","Dependent variable c Source Flux","Dependent variable p (m^2) Total Concentration"
0.5,0,0,0,0,0
0.5,0,5,2.7736652277112924E-10,2.80230143576927E-5,4.807111678944892E-5
0.5,0,10,-2.420536494020132E-8,0.004113780215981016,0.004863658676963106
0.5,0,15,-6.630235684228203E-8,0.1866186883677999,0.3422844841991578
0.5,0,20,1.0897725823936994E-5,0.006104053382933334,0.7493668771891758
0.5,0,25,7.274478877262501E-4,4.1803896506466095E-5,0.755103518695233
0.5,0,30,0.009242503851672544,7.551051709254534E-9,0.7357893887399195
0.5,0,35,0.023624130158639373,0,0.6517696711965639
0.5,0,40,0.02824315052797156,0,0.5173794069764909
0.5,0,45,0.024028790574143942,0,0.38341254397779034
0.5,0,50,0.01725134673671078,0,0.27661131025436697
0.5,0,55,0.011722664905523494,0,0.1986677530957947
0.5,0,60,0.00820499866290773,0,0.14663786899089257
0.5,0,65,0.005823134071404408,0,0.11033825182177262
0.5,0,70,0.004154284863088159,0,0.08450566800237488
0.5,0,75,0.003004542277538895,0,0.06601779602168434
0.5,0,80,0.002250507129323416,0,0.05303964085234005
0.5,0,85,0.0017643376758615529,0,0.04374389431913211
0.5,0,90,0.0014127252472995709,0,0.036330110925558566
0.5,0,95,0.0011303322417949764,0,0.030055461037561217
0.5,0,100,9.144552928066348E-4,0,0.02489860377553353
0.5,0,105,7.474944538663153E-4,0,0.0206811300221187
0.5,0,110,6.14156665249514E-4,0,0.017202489938832614
0.5,0,115,5.05964848306265E-4,0,0.014315937443578631
0.5,0,120,4.189319019372209E-4,0,0.011941918192261338
0.5,0,125,3.4857294141261156E-4,0,0.00999033285518716
0.5,0,130,2.9150586999504536E-4,0,0.008383153075894953
0.5,0,135,2.448336464997349E-4,0,0.007052091210553202
0.5,0,140,2.0646562356272172E-4,0,0.005947298839702456
0.5,0,145,1.7506384612803148E-4,0,0.005034632953777546
0.5,0,150,1.4870944277577982E-4,0,0.004267655694239594
0.5,0.25,0,0,0,0
0.5,0.25,5,1.2478826484752135E-11,2.80230143576927E-5,3.7672146757151354E-5
0.5,0.25,10,8.822252177991668E-10,0.004113780215981016,0.003930996712734231
0.5,0.25,15,2.178158699359653E-8,0.1866186883677999,0.2516355904211119
0.5,0.25,20,7.557604527885513E-7,0.006104053382933334,0.24544763813845688
0.5,0.25,25,3.319913635193248E-5,4.1803896506466095E-5,0.07229982471515194
0.5,0.25,30,1.897497690393734E-4,7.551051709254534E-9,0.020732157533784133
0.5,0.25,35,1.9354109889992043E-4,0,0.005534547690196747
0.5,0.25,40,7.052901893021884E-5,0,0.0013421672488138964
0.5,0.25,45,1.9336745046368553E-5,0,3.862679735382223E-4
0.5,0.25,50,5.566664837874991E-6,0,1.0662957189629102E-4
0.5,0.25,55,1.1868068335981668E-6,0,1.913391459603574E-5
0.5,0.25,60,1.563845723828177E-7,0,1.8877965132611003E-6
0.5,0.25,65,1.0635391079627974E-8,0,1.916039528915429E-7
0.5,0.25,70,6.771664716092741E-10,0,3.988432999971313E-8
0.5,0.25,75,1.572641434116699E-10,0,9.846132828010733E-9
0.5,0.25,80,5.005757460690902E-11,0,2.387001671238686E-9
0.5,0.25,85,1.5767681216149076E-11,0,7.13606891564405E-10
0.5,0.25,90,4.2518944387418955E-12,0,1.8088122175436822E-10
0.5,0.25,95,8.987858032834844E-13,0,3.3157987620401137E-11
0.5,0.25,100,2.1205183120115988E-13,0,7.2500856147673406E-12
