p_diric_aff,lmda,Time (s),"Dependent variable c Sink Flux","Dependent variable c Source Flux","Dependent variable p (m^2) Total Concentration"
0.5,0,0,0,0,0
0.5,0,1,9.209080278943279E-23,1.6520788512201566E-7,4.877285684914086E-8
0.5,0,2,5.954799124036002E-15,1.2460325985644173E-6,9.812843968876448E-7
0.5,0,3,2.8979549752143054E-11,3.7915382055809914E-6,6.800938736384349E-6
0.5,0,4,1.201668046465314E-10,1.030957530824007E-5,2.150014802657822E-5
0.5,0,5,2.773665227711275E-10,2.80230143576927E-5,4.80711167894489E-5
0.5,0,6,5.662801382366837E-10,7.616472161623573E-5,1.0791094665807051E-4
0.5,0,7,-1.44085027732148E-9,2.0696531554019617E-4,3.336710339749922E-4
0.5,0,8,-5.536158189568995E-9,5.620595688460548E-4,7.99118909256795E-4
0.5,0,9,-1.1223217008313185E-8,0.0015239268020171928,0.0019111418622662683
0.5,0,10,-1.682111691458638E-8,0.004113780215981016,0.004818090108819062
0.5,0,11,-2.2987610485808374E-8,0.010974524857330912,0.012393887964696034
0.5,0,12,-2.8100492528903457E-8,0.028373014729149507,0.031478784524530755
0.5,0,13,-2.5733875933035502E-8,0.06770625270398911,0.07853879847142743
0.5,0,14,-1.4009033116738325E-9,0.13412607817609623,0.17834571132041616
0.5,0,15,7.915713248300524E-8,0.1866186883677999,0.34150552365316644
0.5,0,16,2.941358818834618E-7,0.16128029956298232,0.5212272852954521
0.5,0,17,8.165559592603337E-7,0.0917795910445916,0.6488054284754091
0.5,0,18,2.0489141746429666E-6,0.04074281567175996,0.711926538887217
0.5,0,19,4.931904793648567E-6,0.01613670904149516,0.7384580925913714
0.5,0,20,1.1794830200659535E-5,0.006104053382933334,0.7487270351771017
0.5,0,21,2.823274607903135E-5,0.0022689092566239616,0.7524235417864116
0.5,0,22,6.712926883149004E-5,8.37879371849845E-4,0.7537372384720172
0.5,0,23,1.5555182255195548E-4,3.086725946882885E-4,0.7541677288604302
0.5,0,24,3.45970920576555E-4,1.136131219496378E-4,0.754179835391446
0.5,0,25,7.250550003188756E-4,4.1803896506466095E-5,0.7537502503958546
0.5,0,26,0.001415439964720251,1.537987220042327E-5,0.7526998786119838
0.5,0,27,0.00255149981700079,5.658084707850306E-6,0.7507463134278177
