% Model,LymphNode_2D_Model(1).mph
% Version,COMSOL 6.0.0.312
% Date,"Sep 6 2022, 13:51"
% Table,Accumulated Probe Table 2 - 
% p_diric_aff,lmda,Time (s),"Dependent variable c, Sink Flux","Dependent variable c, Source Flux","Dependent variable p (m^2), Total Concentration"
0.5,0,0.5,1.0411941314769352E-28,1.2021032950140624E-8,3.3311944878350445E-9
0.5,0,0.6000000000000001,2.6298832764244084E-28,2.610136865647581E-8,7.255251990427451E-9
0.5,0,0.7000000000000001,4.839394350684923E-28,4.756838229863208E-8,1.2586249516118674E-8
0.5,0,0.8,7.669727354258501E-28,7.742345517924104E-8,1.9324187064908672E-8
0.5,0,0.9,5.691565906546604E-21,1.1644224557212272E-7,3.2481784341918345E-8
0.5,0,1,1.5611150669800273E-20,1.6520788512201566E-7,5.077005628011645E-8
0.5,0,1.1,3.0734451878640917E-20,2.241441752443064E-7,7.504832625752403E-8
0.5,0,1.2000000000000002,5.2037166354975744E-20,2.935487835247588E-7,1.061759176521618E-7
0.5,0,1.3,8.049499092071183E-20,3.736264401192444E-7,1.450121538420499E-7
0.5,0,1.4000000000000001,1.170836223977563E-19,4.6452213415347183E-7,1.9241635820520926E-7
0.5,0,1.5,1.627787576080162E-19,5.663543101227153E-7,2.492478541196613E-7
0.5,0,1.6,2.185560933733991E-19,6.792480642915473E-7,3.1636596496342633E-7
0.5,0,1.7000000000000002,2.0817326872817158E-14,8.033683410935647E-7,4.573165655584564E-7
0.5,0,1.8,4.626045318892154E-14,9.389531295311208E-7,6.213383613440893E-7
0.5,0,1.9000000000000001,7.632959750440625E-14,1.0863466595750545E-6,8.08431352320325E-7
0.5,0,2,1.1102475981927148E-13,1.2460325985644173E-6,1.0185955384871648E-6
0.5,0,2.1,1.5034594013351748E-13,1.4186672476062091E-6,1.2518309198446099E-6
0.5,0,2.2,1.9429313844714358E-13,1.6051127379751003E-6,1.508137496392655E-6
0.5,0,2.3000000000000003,2.4286635476015075E-13,1.806470227513171E-6,1.7875152681313112E-6
0.5,0,2.4000000000000004,2.9606558907253784E-13,2.024113097029627E-6,2.0899642350605606E-6
0.5,0,2.5,3.538908413843056E-13,2.2597201467005455E-6,2.415484397180418E-6
0.5,0,2.6,4.1634211169545344E-13,2.51530879246859E-6,2.7640757544908796E-6
0.5,0,2.7,4.834194000059817E-13,2.7932682624427525E-6,3.135738306991946E-6
0.5,0,2.8000000000000003,5.551227063158916E-13,3.096392793298072E-6,3.5304720546836098E-6
0.5,0,2.9000000000000004,6.314520306251825E-13,3.4279148266753737E-6,3.948276997565879E-6
0.5,0,3,7.124073729338519E-13,3.7915382055809914E-6,4.389153135638756E-6
0.5,0,3.1,7.979887332419022E-13,4.191471370786504E-6,4.853100468902229E-6
0.5,0,3.2,8.881961115493341E-13,4.6324605572284576E-6,5.340118997356314E-6
0.5,0,3.3000000000000003,1.140142701860966E-10,5.119654070456272E-6,8.24047054310969E-6
0.5,0,3.4000000000000004,2.4044276329961244E-10,5.658084707850316E-6,1.1445100557242918E-5
0.5,0,3.5,3.80173675452097E-10,6.253140800471496E-6,1.4954009039756005E-5
0.5,0,3.6,5.332070066435522E-10,6.910777303300362E-6,1.8767195990649008E-5
0.5,0,3.7,6.99542756873975E-10,7.637575371697816E-6,2.288466140992185E-5
0.5,0,3.8000000000000003,8.791809261433664E-10,8.440808200057558E-6,2.7306405297574526E-5
0.5,0,3.9000000000000004,1.0721215144517261E-9,9.328513780471363E-6,3.2032427653607074E-5
0.5,0,4,1.278364521799056E-9,1.030957530824007E-5,3.706272847801954E-5
0.5,0,4.1000000000000005,1.4979099481853531E-9,1.1393810037293388E-5,4.239730777081187E-5
0.5,0,4.2,1.7307577936106213E-9,1.2592067472784019E-5,4.8036165531983905E-5
0.5,0,4.3,1.9769080580748546E-9,1.3916337881121638E-5,5.3979301761535985E-5
0.5,0,4.4,2.2363607415780583E-9,1.5379872200423294E-5,6.022671645946787E-5
0.5,0,4.5,2.509115844120232E-9,1.699731454778734E-5,6.677840962577953E-5
0.5,0,4.6000000000000005,2.795173365701384E-9,1.8784848645050915E-5,7.363438126047124E-5
0.5,0,4.7,3.0945333063214858E-9,2.076035962299357E-5,8.079463136354268E-5
0.5,0,4.800000000000001,3.407195665980573E-9,2.2943612816641342E-5,8.82591599349938E-5
0.5,0,4.9,3.733160444678611E-9,2.535645133288556E-5,9.602796697482518E-5
0.5,0,5,4.072427642415634E-9,2.80230143576927E-5,1.0410105248303597E-4
0.5,0,5.1000000000000005,4.424997259191624E-9,3.096997837552281E-5,1.1247841645962723E-4
0.5,0,5.2,4.790869295006566E-9,3.422682370017398E-5,1.211600589045979E-4
0.5,0,5.300000000000001,5.170043749860498E-9,3.782612896627895E-5,1.3014597981794872E-4
0.5,0,5.4,5.562520623753387E-9,4.180389650646617E-5,1.3943617919967902E-4
0.5,0,5.5,5.968299916685247E-9,4.619991184337162E-5,1.4903065704978912E-4
0.5,0,5.6000000000000005,6.3873816286560804E-9,5.105814086107406E-5,1.5892941336827953E-4
0.5,0,5.7,6.819765759665881E-9,5.642716859026376E-5,1.6913244815514958E-4
0.5,0,5.800000000000001,7.26545230971465E-9,6.236068394893283E-5,1.7963976141039946E-4
0.5,0,5.9,7.724441278802385E-9,6.891801522931089E-5,1.9045135313402905E-4
0.5,0,6,8.196732666929094E-9,7.616472161623573E-5,2.015672233260388E-4
0.5,0,6.1000000000000005,8.682326474094769E-9,8.417324656652692E-5,2.1298737198642862E-4
0.5,0,6.2,9.181222700299404E-9,9.302363947803992E-5,2.2471179911519806E-4
0.5,0,6.300000000000001,9.693421345543029E-9,1.0280435273610915E-4,2.3674050471234702E-4
0.5,0,6.4,1.0218922409825609E-8,1.1361312194963798E-4,2.490734887778765E-4
0.5,0,6.5,1.0917528211886234E-8,1.2555793798527635E-4,2.768256358090966E-4
0.5,0,6.6000000000000005,1.1639121422000308E-8,1.3875812028238624E-4,3.0579811491459485E-4
0.5,0,6.7,1.238370204016783E-8,1.533455018908776E-4,3.3599092609437104E-4
0.5,0,6.800000000000001,1.3151270066388842E-8,1.6946573772590566E-4,3.674040693484242E-4
0.5,0,6.9,1.3941825500663289E-8,1.8727974868573742E-4,4.000375446767547E-4
0.5,0,7,1.475536834299118E-8,2.0696531554019617E-4,4.3389135207936214E-4
0.5,0,7.1000000000000005,1.5591898593372572E-8,2.287188378756014E-4,4.6896549155624954E-4
0.5,0,7.2,1.6451416251807407E-8,2.5275727488712065E-4,5.052599631074117E-4
0.5,0,7.300000000000001,1.7333921318295688E-8,2.7932028645017933E-4,5.427747667328532E-4
0.5,0,7.4,1.8239413792837415E-8,3.0867259468828886E-4,5.815099024325717E-4
0.5,0,7.5,1.9167893675432654E-8,3.4110658819473184E-4,6.214653702065673E-4
0.5,0,7.6000000000000005,2.011936096608129E-8,3.769451931687168E-4,6.626411700548404E-4
0.5,0,7.7,2.1093815664783387E-8,4.165450380012685E-4,7.050373019773918E-4
0.5,0,7.800000000000001,2.2091257771539E-8,4.602999402993864E-4,7.486537659742204E-4
0.5,0,7.9,2.3239924045720384E-8,5.086447479744651E-4,8.127210061644596E-4
0.5,0,8,2.4650738507438003E-8,5.620595688460548E-4,9.138732402298725E-4
0.5,0,8.1,2.612939642990453E-8,6.210744262249774E-4,0.0010229724409085723
