% Model,LymphNode_2D_Model(1).mph
% Version,COMSOL 6.0.0.312
% Date,"Sep 6 2022, 14:14"
% Table,Accumulated Probe Table 2 - 
% p_diric_aff,lmda,Time (s),"Dependent variable c, Sink Flux","Dependent variable c, Source Flux","Dependent variable p (m^2), Total Concentration"
0.5,0,0.5,6.901831919642608E-28,1.2020252524936043E-8,3.330978221217155E-9
0.5,0,0.6000000000000001,1.7431443548364628E-27,2.6099674112749162E-8,7.254780967550929E-9
0.5,0,0.7000000000000001,3.207562014887292E-27,4.7565294081118596E-8,1.2585432396126204E-8
0.5,0,0.8,5.083436172116753E-27,7.741842872135696E-8,1.9322932506942977E-8
0.5,0,0.9,3.237362154853475E-20,1.1643468595027493E-7,3.2479675571113476E-8
0.5,0,1,8.879620895714579E-20,1.651971595547471E-7,5.076676020463758E-8
0.5,0,1.1,1.748175297397441E-19,2.2412962343627572E-7,7.504345399684844E-8
0.5,0,1.2000000000000002,2.959873463268042E-19,2.9352972585555644E-7,1.0616902453708023E-7
0.5,0,1.3,4.578554211488001E-19,3.7360218367704205E-7,1.4500273941466567E-7
0.5,0,1.4000000000000001,6.659715166362068E-19,4.6449197661350985E-7,1.924038662189391E-7
0.5,0,1.5,9.258853952194984E-19,5.663175414706223E-7,2.492316725392329E-7
0.5,0,1.6,1.2431468193291503E-18,6.792039663914972E-7,3.163454259648819E-7
0.5,0,1.7000000000000002,8.475584069898906E-14,8.03316185101268E-7,4.5728680818622967E-7
0.5,0,1.8,1.8834475873089656E-13,9.3889217115165E-7,6.212978727496015E-7
0.5,0,1.9000000000000001,3.10767997242541E-13,1.0862761321655082E-6,8.08378619654995E-7
0.5,0,2,4.5202555623392284E-13,1.2459517040814155E-6,1.0185290489024113E-6
0.5,0,2.1,6.121174357050426E-13,1.4185751453982256E-6,1.2517491604918547E-6
0.5,0,2.2,7.91043635655899E-13,1.6050085314196326E-6,1.508038954423319E-6
0.5,0,2.3000000000000003,9.888041560864935E-13,1.8063529484987366E-6,1.7873984306968094E-6
0.5,0,2.4000000000000004,1.2053989969968252E-12,2.02398168828261E-6,2.089827589312322E-6
